idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
9000	67.5543	33.3393	70.9928	14.0	-0.06030260	-0.06067857	-0.00037597
9001	60.6126	25.6509	45.1016	9.0	-0.08032252	-0.07905679	0.00126573
9002	56.1211	39.9726	67.7399	10.0	-0.07734734	-0.07815088	-0.00080354
9003	58.8945	24.4046	38.9807	15.0	-0.05538244	-0.05486371	0.00051873
9004	42.6337	35.1775	63.3756	14.0	-0.05692846	-0.05735578	-0.00042732
9005	55.6143	35.3155	74.0940	15.0	-0.05576298	-0.05628749	-0.00052451
9006	44.7315	26.0717	49.5163	12.0	-0.05814666	-0.05821731	-0.00007065
9007	57.5294	37.1248	68.8465	10.0	-0.07723690	-0.07816396	-0.00092706
9008	71.1809	40.1229	68.4414	15.0	-0.05716414	-0.05738759	-0.00022345
9009	71.3431	34.6764	66.6878	13.0	-0.06465882	-0.06487056	-0.00021175
9010	59.7451	37.3110	71.8645	13.0	-0.06364628	-0.06425585	-0.00060956
9011	49.9450	31.9243	65.6340	10.0	-0.07487627	-0.07583474	-0.00095847
9012	48.5943	42.0566	46.7875	12.0	-0.06507103	-0.06516762	-0.00009659
9013	62.7237	43.5344	63.6652	9.0	-0.08290332	-0.08343684	-0.00053351
9014	51.2923	23.2442	51.8779	9.0	-0.07337709	-0.07333410	0.00004299
9015	74.5116	34.6009	65.7437	15.0	-0.05817527	-0.05824378	-0.00006851
9016	64.3414	36.8401	41.0024	12.0	-0.06735057	-0.06672793	0.00062263
9017	56.0932	37.7305	43.6333	9.0	-0.07939897	-0.07901821	0.00038076
9018	73.3742	28.1662	52.2590	11.0	-0.07094457	-0.07012557	0.00081899
9019	75.0055	36.9494	58.5622	13.0	-0.06580663	-0.06563951	0.00016712
9020	44.8068	31.0535	63.3667	12.0	-0.06202741	-0.06256413	-0.00053672
9021	64.9566	35.1578	42.7839	10.0	-0.07582130	-0.07492801	0.00089330
9022	49.4236	48.3198	57.5240	13.0	-0.06153330	-0.06180736	-0.00027405
9023	62.3000	23.6756	39.1676	15.0	-0.05455665	-0.05398600	0.00057065
9024	64.2721	40.2422	42.4740	12.0	-0.06831910	-0.06785401	0.00046509
9025	59.1575	46.6095	62.6352	10.0	-0.07521638	-0.07562869	-0.00041231
9026	49.4930	43.1003	59.0288	9.0	-0.07899996	-0.07949035	-0.00049039
9027	65.8104	15.7386	54.1882	15.0	-0.05533155	-0.05498213	0.00034942
9028	46.5533	44.3911	59.0022	12.0	-0.06401021	-0.06437254	-0.00036234
9029	42.9538	27.0487	53.7754	12.0	-0.05744351	-0.05765355	-0.00021004
9030	40.6372	27.9120	48.9689	15.0	-0.04989297	-0.04998059	-0.00008763
9031	60.3113	28.8179	72.4682	14.0	-0.05912459	-0.05965891	-0.00053432
9032	44.7159	26.8747	61.3732	12.0	-0.05952102	-0.05995041	-0.00042939
9033	45.9043	29.8265	48.8171	10.0	-0.06575692	-0.06585913	-0.00010221
9034	73.0138	38.4493	50.0513	12.0	-0.06933101	-0.06884811	0.00048291
9035	69.1584	24.6805	68.5925	15.0	-0.05642894	-0.05658503	-0.00015609
9036	59.8872	33.1263	38.9298	13.0	-0.06313030	-0.06255548	0.00057481
9037	72.8922	42.5855	56.8167	13.0	-0.06576172	-0.06569197	0.00006975
9038	44.6280	24.7938	58.4124	12.0	-0.05826849	-0.05858189	-0.00031339
9039	41.2783	41.2390	58.2998	15.0	-0.05393402	-0.05422268	-0.00028866
9040	55.6878	37.3924	40.4252	12.0	-0.06506276	-0.06473107	0.00033169
9041	53.3612	27.0607	72.1680	15.0	-0.05498906	-0.05550374	-0.00051469
9042	43.9601	30.8109	47.7551	12.0	-0.05881455	-0.05889858	-0.00008404
9043	42.1202	30.7068	62.9738	14.0	-0.05468934	-0.05508233	-0.00039299
9044	48.0863	29.1826	47.8378	9.0	-0.07076407	-0.07077047	-0.00000640
9045	62.1029	26.2488	44.6351	9.0	-0.07944045	-0.07811693	0.00132352
9046	60.3653	45.7503	47.9020	11.0	-0.07423073	-0.07417621	0.00005452
9047	56.1277	40.0732	69.8316	12.0	-0.06763396	-0.06829006	-0.00065610
9048	60.1546	46.5234	45.8210	13.0	-0.06578611	-0.06569701	0.00008910
9049	56.8117	23.9927	69.8900	14.0	-0.05885694	-0.05936113	-0.00050419
9050	63.1249	21.5419	40.7521	15.0	-0.05440497	-0.05382774	0.00057723
9051	57.4225	31.6586	70.1949	11.0	-0.06996860	-0.07083530	-0.00086670
9052	74.4912	36.6509	60.6252	13.0	-0.06579699	-0.06572074	0.00007624
9053	42.5314	27.5963	50.1263	13.0	-0.05486866	-0.05498277	-0.00011411
9054	45.2963	21.9184	54.1722	13.0	-0.05531552	-0.05544927	-0.00013376
9055	74.1795	29.9357	55.5097	11.0	-0.07107164	-0.07048791	0.00058374
9056	66.9731	27.9326	71.2284	15.0	-0.05713345	-0.05744807	-0.00031462
9057	69.6683	29.2477	39.2585	15.0	-0.05414855	-0.05355786	0.00059069
9058	70.3935	21.4693	53.5614	12.0	-0.06521824	-0.06456396	0.00065428
9059	51.0667	43.3125	68.0439	13.0	-0.06115541	-0.06163714	-0.00048172
9060	47.4365	47.6566	53.4027	14.0	-0.05848960	-0.05869839	-0.00020879
9061	65.6326	34.5589	72.9688	15.0	-0.05698471	-0.05738494	-0.00040024
9062	61.7779	46.0477	52.4324	9.0	-0.08322010	-0.08331726	-0.00009716
9063	73.3060	34.0491	49.5399	11.0	-0.07138180	-0.07063728	0.00074453
9064	62.9208	31.3474	40.9337	11.0	-0.06973044	-0.06885558	0.00087486
9065	69.8787	44.9704	61.9308	13.0	-0.06427389	-0.06443925	-0.00016535
9066	43.7949	27.1803	45.8677	14.0	-0.05290846	-0.05290657	0.00000189
9067	46.6585	29.9808	66.3626	13.0	-0.06069570	-0.06128294	-0.00058725
9068	42.6521	31.2304	65.5018	15.0	-0.05323855	-0.05364867	-0.00041012
9069	68.9905	24.4141	64.3793	12.0	-0.06591713	-0.06595383	-0.00003670
9070	44.0016	23.3098	55.9306	13.0	-0.05493036	-0.05513301	-0.00020264
9071	58.0308	49.5054	51.9750	12.0	-0.06662995	-0.06674788	-0.00011793
9072	46.0659	36.5100	69.5148	15.0	-0.05452874	-0.05499994	-0.00047120
9073	70.4740	28.0432	62.1795	10.0	-0.07558078	-0.07548525	0.00009553
9074	49.6435	32.1231	69.4182	13.0	-0.06163142	-0.06229627	-0.00066485
9075	44.2885	37.0175	51.5408	11.0	-0.06567019	-0.06593476	-0.00026457
9076	54.3800	19.9819	47.0760	13.0	-0.06126860	-0.06089904	0.00036956
9077	61.7705	23.8837	63.1645	9.0	-0.08111378	-0.08156310	-0.00044932
9078	63.2132	34.2598	41.1348	11.0	-0.07084260	-0.07005563	0.00078698
9079	68.7092	48.0478	49.4582	15.0	-0.05871108	-0.05861322	0.00009786
9080	69.9990	29.6696	66.1406	12.0	-0.06794574	-0.06814102	-0.00019528
9081	66.0317	46.5151	50.4122	12.0	-0.06955748	-0.06948142	0.00007606
9082	72.3056	39.6608	65.8685	14.0	-0.06052842	-0.06069891	-0.00017049
9083	60.8087	35.1633	73.1213	14.0	-0.05974578	-0.06028846	-0.00054268
9084	71.9615	38.4796	47.5628	12.0	-0.06836954	-0.06782892	0.00054062
9085	61.1804	20.9273	62.8414	11.0	-0.06953728	-0.06974378	-0.00020650
9086	62.0567	28.5323	43.4742	9.0	-0.07969012	-0.07841035	0.00127977
9087	74.0033	36.1311	45.0260	14.0	-0.05903996	-0.05851854	0.00052143
9088	55.5971	21.1697	43.7277	14.0	-0.05908503	-0.05862700	0.00045803
9089	58.3805	48.8493	48.4452	13.0	-0.06390074	-0.06392913	-0.00002839
9090	50.8272	22.9802	56.2290	9.0	-0.07263863	-0.07290452	-0.00026589
9091	72.7107	41.4410	61.5193	13.0	-0.06449170	-0.06456371	-0.00007200
9092	45.0531	34.9628	43.2530	14.0	-0.05493344	-0.05492484	0.00000861
9093	73.1839	36.5665	57.4390	11.0	-0.07517850	-0.07492392	0.00025458
9094	49.9965	35.7265	70.9375	14.0	-0.05857880	-0.05915744	-0.00057865
9095	65.4556	48.8219	61.3455	13.0	-0.06262676	-0.06283529	-0.00020852
9096	66.8088	17.6353	47.3762	15.0	-0.05473743	-0.05419795	0.00053947
9097	40.5757	29.4038	51.2684	14.0	-0.05226830	-0.05241789	-0.00014959
9098	53.8698	43.5304	40.2914	15.0	-0.05541407	-0.05530044	0.00011363
9099	46.1439	40.3771	48.7534	12.0	-0.06468200	-0.06485508	-0.00017308
9100	55.9905	21.0359	56.5525	9.0	-0.07681531	-0.07681502	0.00000029
9101	57.9216	35.9504	73.2259	14.0	-0.05930050	-0.05986950	-0.00056900
9102	47.7846	42.8924	49.4721	12.0	-0.06657671	-0.06676327	-0.00018656
9103	69.4746	27.4836	40.8415	14.0	-0.05686923	-0.05618887	0.00068036
9104	48.8503	31.7336	63.2023	9.0	-0.07869650	-0.07964829	-0.00095179
9105	65.9899	23.5781	43.8540	12.0	-0.06395074	-0.06306861	0.00088212
9106	73.1585	24.6426	44.2877	15.0	-0.05401925	-0.05341606	0.00060319
9107	62.3715	42.8107	48.6080	9.0	-0.08869792	-0.08850676	0.00019115
9108	70.6365	40.4311	56.3132	10.0	-0.08090375	-0.08078824	0.00011551
9109	75.1429	32.7352	53.7378	12.0	-0.06803124	-0.06749105	0.00054019
9110	68.1521	23.4774	68.4205	15.0	-0.05632317	-0.05648296	-0.00015978
9111	71.2063	46.3147	50.9842	15.0	-0.05963521	-0.05950951	0.00012570
9112	63.1490	33.9469	67.4594	9.0	-0.08365647	-0.08460202	-0.00094555
9113	58.2533	37.3344	41.4013	11.0	-0.07106455	-0.07059351	0.00047104
9114	54.8138	24.1309	45.1022	11.0	-0.06955845	-0.06899018	0.00056827
9115	47.5782	36.2052	63.8498	10.0	-0.07308499	-0.07381404	-0.00072906
9116	46.1218	21.4990	61.1885	14.0	-0.05401466	-0.05430176	-0.00028709
9117	63.6678	35.4238	70.3983	12.0	-0.06786579	-0.06847522	-0.00060943
9118	51.0082	37.4941	43.1563	11.0	-0.06724750	-0.06712406	0.00012344
9119	64.7385	18.4852	49.4753	13.0	-0.06181709	-0.06118128	0.00063581
9120	67.0602	42.6477	70.0151	15.0	-0.05731920	-0.05763552	-0.00031633
