idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
20000	71.6764	35.1395	54.5551	9.0	-0.08683663	-0.08617960	0.00065703
20001	68.7498	27.9130	62.4802	9.0	-0.08159822	-0.08161147	-0.00001325
20002	46.6977	31.2853	53.1260	7.4	-0.07735538	-0.07773060	-0.00037522
20003	50.3781	37.9885	62.9247	7.5	-0.08881830	-0.08975440	-0.00093610
20004	58.3151	22.3095	56.9998	7.7	-0.08785914	-0.08776175	0.00009739
20005	48.1298	35.6616	49.0166	8.2	-0.07859577	-0.07881023	-0.00021446
20006	47.2597	30.7440	50.4353	7.9	-0.07539398	-0.07560981	-0.00021583
20007	55.5828	40.9183	45.5436	9.0	-0.08058962	-0.08045143	0.00013819
20008	68.2343	34.5149	47.0281	8.0	-0.08793501	-0.08666852	0.00126649
20009	51.5256	32.1096	46.4389	7.4	-0.08402446	-0.08382600	0.00019846
20010	54.8904	41.2183	65.1175	8.4	-0.08588637	-0.08669215	-0.00080578
20011	69.8871	31.0842	49.8237	7.6	-0.09051156	-0.08896014	0.00155143
20012	63.3389	45.1970	59.7077	8.5	-0.08521635	-0.08557952	-0.00036317
20013	57.5295	37.0859	44.7285	7.7	-0.08932537	-0.08876247	0.00056290
20014	54.2469	23.5047	61.8381	8.7	-0.07658396	-0.07724544	-0.00066148
20015	63.1187	26.4008	62.2652	7.1	-0.09721471	-0.09782478	-0.00061007
20016	70.4625	31.4104	56.3385	7.2	-0.09655751	-0.09565068	0.00090683
20017	69.3722	25.0152	55.2359	8.6	-0.08283979	-0.08187020	0.00096959
20018	52.9642	34.5405	45.9062	7.2	-0.08787926	-0.08760558	0.00027368
20019	49.1535	40.5944	54.7264	7.8	-0.08839947	-0.08890454	-0.00050508
20020	68.3063	23.6398	56.5469	8.9	-0.08047295	-0.07972629	0.00074665
20021	67.0825	35.0057	64.6287	8.5	-0.08759763	-0.08818630	-0.00058867
20022	55.9845	46.5510	55.2783	8.7	-0.08359185	-0.08388580	-0.00029395
20023	62.2941	28.1362	63.5019	7.0	-0.10045978	-0.10162675	-0.00116696
20024	54.3404	22.4074	59.4109	8.5	-0.07697351	-0.07738703	-0.00041352
20025	70.5066	35.2436	56.0761	7.9	-0.09547266	-0.09490701	0.00056566
20026	50.6445	41.9893	53.4581	7.9	-0.08957987	-0.09000779	-0.00042792
20027	69.4251	35.7092	57.5068	7.3	-0.10197607	-0.10166602	0.00031005
20028	49.5453	28.8675	48.9668	7.4	-0.07913763	-0.07915879	-0.00002116
20029	53.6274	41.9431	62.3528	7.2	-0.09378146	-0.09451044	-0.00072898
20030	66.6489	41.9928	56.0730	7.8	-0.09624290	-0.09636731	-0.00012441
20031	59.8707	41.6545	64.3552	7.7	-0.09312509	-0.09391981	-0.00079473
20032	58.4040	28.2934	64.5831	7.1	-0.09495584	-0.09657753	-0.00162169
20033	54.9179	22.7300	56.5098	7.5	-0.08370952	-0.08386609	-0.00015657
20034	64.6050	23.9809	60.1594	7.9	-0.08810422	-0.08797515	0.00012907
20035	60.1312	40.0788	47.3730	7.2	-0.09898486	-0.09861067	0.00037420
20036	51.0783	35.2298	63.6566	7.3	-0.09191280	-0.09316723	-0.00125444
20037	52.0934	30.7840	65.7126	8.9	-0.08035633	-0.08155381	-0.00119748
20038	56.2032	21.9854	53.9515	8.3	-0.08272413	-0.08243485	0.00028929
20039	51.2145	24.7896	50.7277	8.1	-0.07732183	-0.07724115	0.00008068
20040	60.9489	37.1973	45.0483	7.6	-0.09260217	-0.09177992	0.00082226
20041	60.4991	24.5838	49.4942	7.0	-0.09696135	-0.09523247	0.00172888
