idx	shell	a_pot	a_pot_norm	a_force_xcheck
0	3.0	-1.161946e-02	-0.0949	1.013588e-02
1	4.0	2.425286e-02	+0.1981	-1.149630e-03
2	4.0	-1.988785e-02	-0.1625	2.688613e-03
3	3.0	-3.564177e-02	-0.2912	3.165421e-03
4	4.0	4.967668e-02	+0.4058	-1.118700e-02
5	2.0	3.066453e-02	+0.2505	1.023531e-03
6	4.0	-2.461591e-02	-0.2011	-2.181042e-03
7	2.0	3.366297e-02	+0.2750	2.375415e-03
8	4.0	6.707171e-03	+0.0548	8.981938e-03
9	2.0	1.165258e-01	+0.9519	-4.533319e-02
10	2.0	-1.224128e-01	-1.0000	-5.056336e-02
11	3.0	3.178252e-02	+0.2596	-1.719611e-03
12	4.0	-5.721087e-03	-0.0467	3.043735e-03
13	2.0	-4.506439e-02	-0.3681	2.194725e-03
14	4.0	2.415543e-02	+0.1973	-2.832196e-04
15	3.0	2.577041e-02	+0.2105	3.727736e-04
16	4.0	4.528166e-02	+0.3699	-5.963217e-03
17	4.0	3.254219e-02	+0.2658	3.921886e-03
18	4.0	-3.377769e-02	-0.2759	-5.489179e-03
19	4.0	5.051863e-02	+0.4127	-1.229145e-02
20	4.0	-3.947218e-03	-0.0322	4.607803e-03
21	4.0	-5.058551e-02	-0.4132	-1.181711e-02
22	4.0	-2.734285e-02	-0.2234	-4.809710e-04
23	2.0	-7.565440e-02	-0.6180	-7.922540e-03
24	2.0	-3.078253e-02	-0.2515	-1.067819e-03
25	3.0	1.250649e-02	+0.1022	1.123803e-02
26	3.0	-4.268646e-02	-0.3487	-4.364467e-03
27	2.0	1.779540e-02	+0.1454	2.784348e-02
28	3.0	-1.930154e-02	-0.1577	4.431944e-03
29	4.0	-1.675316e-02	-0.1369	4.965990e-03
30	2.0	1.198981e-01	+0.9795	-4.339553e-02
31	4.0	-9.745197e-03	-0.0796	2.014868e-03
32	3.0	5.181682e-02	+0.4233	-5.533878e-03
33	4.0	-1.906497e-02	-0.1557	2.119617e-04
34	4.0	-3.631350e-02	-0.2966	-1.540605e-03
35	4.0	-3.555751e-02	-0.2905	-4.345165e-03
36	3.0	-2.919988e-02	-0.2385	4.014953e-03
37	2.0	2.457511e-03	+0.0201	9.544220e-03
38	2.0	-3.837893e-02	-0.3135	1.716103e-03
39	2.0	9.406212e-02	+0.7684	-2.585758e-03
40	4.0	5.273568e-02	+0.4308	-8.723831e-03
41	4.0	-1.952774e-02	-0.1595	-4.752702e-04
42	4.0	-1.521210e-02	-0.1243	1.391192e-03
43	4.0	-3.130055e-02	-0.2557	-2.694741e-03
44	2.0	6.003544e-03	+0.0490	8.590228e-03
45	4.0	9.195638e-03	+0.0751	6.675338e-03
46	4.0	-2.763767e-02	-0.2258	-1.855158e-03
47	4.0	3.005670e-02	+0.2455	-1.778159e-03
48	3.0	-1.969163e-02	-0.1609	6.869116e-04
49	4.0	1.305140e-02	+0.1066	6.219743e-03
50	4.0	-4.961009e-02	-0.4053	-8.588746e-03
51	2.0	-5.347576e-02	-0.4368	-8.172982e-03
52	4.0	2.738297e-02	+0.2237	-2.104419e-03
53	4.0	-2.036395e-02	-0.1664	-8.465033e-04
54	4.0	-2.724006e-02	-0.2225	-1.987319e-03
55	3.0	-2.715109e-02	-0.2218	1.215230e-03
56	2.0	9.004045e-02	+0.7355	-3.588959e-03
57	4.0	2.614730e-02	+0.2136	3.288847e-04
58	2.0	5.377879e-02	+0.4393	-5.878762e-03
59	4.0	2.073005e-02	+0.1693	4.826582e-04
60	2.0	3.847546e-02	+0.3143	1.934862e-02
61	4.0	-3.394957e-02	-0.2773	-5.096190e-03
62	4.0	1.920467e-02	+0.1569	2.953061e-03
63	3.0	-3.643161e-02	-0.2976	-7.420016e-04
64	2.0	2.010888e-02	+0.1643	9.444985e-03
65	2.0	1.518510e-02	+0.1240	1.852432e-02
66	4.0	1.477236e-02	+0.1207	6.207061e-03
67	4.0	-5.196002e-02	-0.4245	-1.269380e-02
68	4.0	-3.959340e-02	-0.3234	-4.637121e-03
69	3.0	7.428030e-02	+0.6068	-1.955200e-02
70	2.0	-7.354805e-02	-0.6008	-1.893384e-02
71	4.0	-2.027726e-03	-0.0166	4.979255e-03
72	4.0	-3.679258e-02	-0.3006	-6.316179e-03
73	2.0	-1.775375e-02	-0.1450	1.565814e-02
74	3.0	3.209920e-03	+0.0262	7.014303e-03
75	3.0	3.042559e-02	+0.2485	1.266254e-02
76	2.0	-2.049809e-02	-0.1675	3.085392e-03
77	4.0	3.480637e-02	+0.2843	-4.887713e-03
78	3.0	-2.352351e-02	-0.1922	5.326773e-03
79	4.0	-2.190552e-02	-0.1789	1.071944e-03
80	3.0	-2.325689e-02	-0.1900	2.139168e-03
81	3.0	2.763870e-02	+0.2258	4.655658e-03
82	4.0	2.178845e-02	+0.1780	7.770416e-03
83	3.0	-2.131817e-02	-0.1741	7.756500e-03
84	4.0	4.360081e-02	+0.3562	-6.577070e-03
85	4.0	-9.524151e-03	-0.0778	4.198262e-03
86	3.0	2.446837e-02	+0.1999	2.585767e-03
87	3.0	-1.422552e-03	-0.0116	1.397298e-02
88	4.0	-2.141798e-02	-0.1750	2.283334e-03
89	4.0	-2.651659e-02	-0.2166	-1.318302e-03
90	3.0	1.512897e-02	+0.1236	3.444105e-03
91	2.0	-8.426167e-02	-0.6883	-2.266587e-02
92	2.0	2.910753e-03	+0.0238	2.461795e-02
93	4.0	3.177385e-02	+0.2596	5.344851e-04
94	4.0	-2.660905e-02	-0.2174	-9.729182e-04
95	4.0	2.715179e-03	+0.0222	4.258362e-03
96	3.0	5.340074e-02	+0.4362	3.266108e-03
97	3.0	6.955947e-03	+0.0568	8.406838e-03
98	3.0	-2.445308e-03	-0.0200	4.760828e-03
99	3.0	7.899285e-02	+0.6453	-2.497918e-02
100	4.0	-5.027551e-03	-0.0411	7.865076e-03
101	2.0	-1.443882e-02	-0.1180	7.932881e-03
102	4.0	-4.832058e-03	-0.0395	3.961837e-03
103	3.0	4.867831e-02	+0.3977	-9.718438e-03
104	2.0	-8.896585e-03	-0.0727	6.795557e-03
105	2.0	-9.758913e-04	-0.0080	1.064433e-02
106	4.0	2.754198e-04	+0.0022	5.219817e-03
107	4.0	-4.235987e-02	-0.3460	-7.881893e-03
108	4.0	-5.335776e-02	-0.4359	-1.130305e-02
109	4.0	-9.640856e-03	-0.0788	2.865446e-03
110	4.0	-9.083905e-03	-0.0742	2.134097e-03
111	4.0	-1.564100e-03	-0.0128	6.866116e-03
112	4.0	-8.305195e-03	-0.0678	5.395641e-03
113	2.0	-1.498164e-02	-0.1224	3.644840e-03
114	3.0	7.089156e-02	+0.5791	-1.719807e-02
115	2.0	-2.435424e-02	-0.1990	1.613400e-02
116	2.0	-2.511781e-02	-0.2052	1.845075e-03
117	2.0	6.463592e-02	+0.5280	-7.453885e-03
118	2.0	4.438472e-02	+0.3626	4.613515e-03
119	2.0	-1.664194e-02	-0.1359	4.068705e-03
120	3.0	4.411313e-02	+0.3604	1.655666e-03
121	2.0	1.607732e-03	+0.0131	2.016647e-02
122	4.0	-2.376363e-02	-0.1941	2.975469e-03
123	4.0	-7.884847e-03	-0.0644	6.937493e-03
124	4.0	9.759681e-03	+0.0797	3.753410e-03
125	3.0	-4.976605e-02	-0.4065	-9.877503e-03
126	4.0	-3.441793e-02	-0.2812	-3.149454e-03
127	3.0	-1.498959e-02	-0.1225	1.912809e-03
128	2.0	-3.842317e-02	-0.3139	-1.846605e-03
129	3.0	-6.935579e-02	-0.5666	-1.998517e-02
130	4.0	-1.715800e-02	-0.1402	4.022019e-03
131	2.0	1.241976e-02	+0.1015	1.268671e-02
132	4.0	3.265837e-02	+0.2668	3.824442e-03
133	4.0	5.919935e-02	+0.4836	-1.611919e-02
134	2.0	-9.516823e-02	-0.7774	-2.207103e-02
135	4.0	1.544003e-03	+0.0126	7.526603e-03
136	3.0	-6.095481e-02	-0.4979	-1.534624e-02
137	4.0	7.693548e-03	+0.0628	8.327046e-03
138	3.0	-3.414325e-02	-0.2789	-2.043334e-03
139	3.0	-2.975425e-02	-0.2431	3.857646e-03
140	4.0	-5.220926e-03	-0.0427	7.344770e-03
141	3.0	1.333433e-02	+0.1089	4.038969e-03
142	4.0	-1.491307e-02	-0.1218	4.049574e-03
143	4.0	-1.943741e-02	-0.1588	-3.496956e-04
144	4.0	6.815704e-04	+0.0056	3.934046e-03
145	3.0	4.023928e-02	+0.3287	-5.620870e-03
146	2.0	-4.621312e-02	-0.3775	-6.312325e-03
147	4.0	-4.527248e-02	-0.3698	-9.954882e-03
148	4.0	4.909630e-03	+0.0401	9.636310e-03
149	3.0	9.430431e-03	+0.0770	4.571814e-03
150	2.0	-5.816978e-02	-0.4752	-9.042462e-03
151	2.0	2.722350e-02	+0.2224	2.557103e-02
152	2.0	9.787996e-02	+0.7996	-2.826293e-02
153	3.0	-2.978571e-02	-0.2433	-2.140616e-03
154	2.0	-1.614757e-02	-0.1319	1.220686e-02
155	4.0	1.107655e-02	+0.0905	3.303697e-03
156	3.0	-5.669103e-02	-0.4631	-8.002846e-03
157	4.0	-1.348403e-02	-0.1102	6.802898e-03
158	2.0	-4.350970e-02	-0.3554	2.817076e-03
159	2.0	-1.640631e-02	-0.1340	7.810614e-03
160	3.0	-2.174201e-02	-0.1776	1.934564e-03
161	3.0	-5.690712e-02	-0.4649	-1.132002e-02
162	4.0	-2.795818e-02	-0.2284	4.831680e-04
163	2.0	-2.883507e-02	-0.2356	1.485306e-02
164	3.0	5.257555e-02	+0.4295	-1.730654e-03
165	2.0	-2.140701e-02	-0.1749	1.111332e-02
166	3.0	-2.582455e-02	-0.2110	5.328167e-04
167	4.0	7.499397e-03	+0.0613	7.314966e-03
168	4.0	1.535033e-02	+0.1254	6.876193e-03
169	4.0	4.384977e-03	+0.0358	1.044247e-02
170	4.0	-1.131392e-03	-0.0092	4.254397e-03
171	2.0	-2.446088e-02	-0.1998	1.385012e-02
172	4.0	-7.747500e-03	-0.0633	2.880930e-03
173	4.0	1.340101e-02	+0.1095	3.096634e-03
174	4.0	2.022873e-02	+0.1653	2.270866e-05
175	2.0	-2.092229e-02	-0.1709	6.013503e-03
176	4.0	-1.274694e-02	-0.1041	2.257571e-03
177	4.0	5.296335e-03	+0.0433	5.109524e-03
178	4.0	1.218450e-02	+0.0995	2.216897e-03
179	4.0	1.508656e-02	+0.1232	1.732764e-03
180	4.0	-1.097057e-02	-0.0896	6.528545e-03
181	2.0	7.457922e-02	+0.6092	4.298058e-03
182	4.0	-2.334767e-02	-0.1907	1.061322e-03
183	4.0	-8.451201e-03	-0.0690	3.783383e-03
184	3.0	-3.430581e-02	-0.2802	1.570997e-03
185	2.0	-4.510371e-02	-0.3685	-1.174730e-03
186	3.0	2.047402e-02	+0.1673	1.010193e-02
187	4.0	-5.895368e-02	-0.4816	-1.642656e-02
188	2.0	1.784179e-02	+0.1458	1.428545e-02
189	2.0	-2.952371e-03	-0.0241	1.180418e-02
190	4.0	2.970625e-02	+0.2427	1.962308e-04
191	3.0	2.931281e-02	+0.2395	-4.452910e-04
192	3.0	-1.733636e-02	-0.1416	3.526996e-03
193	2.0	-1.264389e-02	-0.1033	6.794510e-03
194	3.0	-6.549930e-02	-0.5351	-1.915922e-02
195	2.0	9.999943e-04	+0.0082	1.845390e-02
196	2.0	-5.988305e-02	-0.4892	-9.641365e-03
197	4.0	-2.564956e-02	-0.2095	-8.042542e-04
198	2.0	3.778618e-02	+0.3087	-1.679057e-03
199	3.0	-3.798829e-02	-0.3103	-4.118537e-03
200	2.0	-6.783486e-02	-0.5541	-9.094331e-03
201	4.0	-1.873975e-02	-0.1531	3.660185e-03
202	2.0	9.056524e-02	+0.7398	-2.028486e-02
203	2.0	-3.397025e-02	-0.2775	8.439731e-05
204	4.0	-2.709215e-02	-0.2213	3.056740e-04
205	4.0	-5.086430e-03	-0.0416	2.976474e-03
206	4.0	4.186950e-02	+0.3420	-6.892377e-03
207	4.0	-1.388399e-02	-0.1134	9.526890e-04
208	4.0	-1.069717e-02	-0.0874	5.313669e-03
209	2.0	9.546214e-02	+0.7798	-1.850993e-02
210	2.0	-3.588003e-02	-0.2931	4.005775e-03
211	4.0	3.903444e-02	+0.3189	-1.915117e-03
212	4.0	1.741483e-02	+0.1423	1.047152e-03
213	2.0	5.214986e-02	+0.4260	2.249802e-02
214	4.0	7.374251e-03	+0.0602	3.404848e-03
215	2.0	7.150728e-02	+0.5841	-1.529975e-02
216	2.0	7.102598e-02	+0.5802	-1.683127e-02
217	2.0	3.501301e-02	+0.2860	7.125709e-03
218	4.0	-2.498299e-02	-0.2041	-2.065364e-03
219	2.0	4.881827e-02	+0.3988	-6.504619e-03
220	4.0	2.437068e-02	+0.1991	3.361989e-03
221	3.0	-2.643369e-02	-0.2159	2.494323e-03
222	3.0	-4.054166e-02	-0.3312	-5.155487e-03
223	4.0	2.975280e-02	+0.2431	-2.639672e-03
224	3.0	1.615796e-02	+0.1320	4.966858e-03
225	4.0	-2.668861e-02	-0.2180	4.391406e-04
226	4.0	4.144271e-02	+0.3385	-1.969073e-03
227	3.0	5.888482e-02	+0.4810	-1.870355e-03
228	3.0	5.400603e-03	+0.0441	6.710150e-03
229	4.0	-1.050121e-02	-0.0858	6.007615e-03
230	2.0	5.743068e-02	+0.4692	1.373953e-02
231	4.0	-4.039838e-02	-0.3300	-8.070292e-03
232	3.0	1.158517e-02	+0.0946	7.613558e-03
233	4.0	5.246978e-02	+0.4286	-7.688145e-03
234	4.0	1.111482e-02	+0.0908	3.985774e-03
235	4.0	3.424595e-02	+0.2798	-4.902033e-03
236	2.0	-5.410533e-02	-0.4420	-2.762351e-03
237	3.0	6.510768e-02	+0.5319	-8.402417e-03
238	2.0	1.861722e-02	+0.1521	9.142734e-03
239	4.0	1.626275e-02	+0.1329	3.606235e-03
240	4.0	2.696161e-02	+0.2203	6.589030e-03
241	4.0	3.207934e-02	+0.2621	-1.514792e-03
242	3.0	-1.835727e-02	-0.1500	6.130877e-03
243	4.0	3.993673e-02	+0.3262	-7.261316e-03
244	3.0	-4.871039e-02	-0.3979	-1.028646e-02
245	4.0	4.605958e-02	+0.3763	-3.284384e-03
246	2.0	8.851892e-03	+0.0723	1.683391e-02
247	2.0	-5.257336e-02	-0.4295	-4.192837e-03
248	3.0	-4.321092e-02	-0.3530	-3.343901e-03
249	2.0	4.673354e-02	+0.3818	5.058108e-03
250	4.0	2.547006e-02	+0.2081	5.527000e-03
251	2.0	-7.023165e-02	-0.5737	-1.196132e-02
252	4.0	-4.077259e-02	-0.3331	-6.056902e-03
253	3.0	-4.569555e-03	-0.0373	8.005892e-03
254	3.0	-6.274773e-02	-0.5126	-1.396048e-02
255	2.0	-1.137526e-01	-0.9293	-3.973841e-02
256	4.0	-1.421542e-02	-0.1161	4.146276e-03
257	2.0	2.284436e-02	+0.1866	8.688322e-03
258	4.0	1.018903e-02	+0.0832	4.756257e-03
259	4.0	1.918320e-02	+0.1567	7.134409e-03
260	3.0	-1.269502e-02	-0.1037	1.302754e-02
261	4.0	3.667699e-02	+0.2996	-1.903256e-03
262	4.0	4.731940e-02	+0.3866	-6.622473e-03
263	4.0	-3.320550e-02	-0.2713	-4.570138e-03
264	2.0	6.316890e-02	+0.5160	6.919762e-03
265	2.0	-1.104777e-03	-0.0090	2.074581e-02
266	3.0	-4.339666e-02	-0.3545	-7.494727e-03
267	4.0	4.425432e-02	+0.3615	-7.282443e-03
268	2.0	6.615211e-02	+0.5404	1.130304e-02
269	3.0	-4.995516e-02	-0.4081	-9.978905e-03
270	4.0	-3.979324e-02	-0.3251	-3.266579e-03
271	2.0	-2.311911e-02	-0.1889	9.021364e-03
272	4.0	5.864365e-02	+0.4791	-1.393208e-02
273	4.0	-5.418236e-02	-0.4426	-1.354602e-02
274	4.0	-1.814240e-02	-0.1482	3.214543e-03
275	4.0	-1.396148e-02	-0.1141	5.401758e-03
276	4.0	-8.515967e-03	-0.0696	7.385836e-03
277	3.0	8.032311e-02	+0.6562	-2.201043e-02
278	4.0	-2.299663e-03	-0.0188	6.161379e-03
279	4.0	-1.157523e-02	-0.0946	3.467816e-03
280	3.0	-4.502327e-02	-0.3678	-7.818060e-03
281	3.0	3.179187e-02	+0.2597	1.226375e-02
282	4.0	-9.867758e-03	-0.0806	5.129338e-03
283	4.0	3.928522e-02	+0.3209	-7.480448e-03
284	2.0	1.053421e-01	+0.8605	-1.839707e-02
285	2.0	4.035144e-02	+0.3296	-7.146561e-04
286	2.0	3.021271e-02	+0.2468	3.292744e-03
287	2.0	7.925518e-02	+0.6474	-2.167931e-02
288	2.0	-5.849712e-02	-0.4779	-1.735118e-03
289	4.0	-2.111848e-02	-0.1725	2.233040e-04
290	4.0	7.465164e-03	+0.0610	8.785674e-03
291	4.0	4.909091e-02	+0.4010	-4.705886e-03
292	4.0	1.021406e-02	+0.0834	8.675171e-03
293	4.0	-1.294610e-02	-0.1058	2.609886e-03
294	2.0	-3.632815e-02	-0.2968	7.530601e-03
295	4.0	1.782220e-02	+0.1456	3.665890e-03
