idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
0	62.7998	26.6604	57.5532	4.0	-0.13279228	-0.13204105	0.00075123
1	50.2731	40.9417	55.1391	7.0	-0.09509227	-0.09564357	-0.00055129
2	62.4909	23.6517	52.7740	7.0	-0.09904913	-0.09750222	0.00154691
3	67.9021	40.9262	56.0041	8.0	-0.09461835	-0.09462703	-0.00000869
4	59.0353	42.2030	57.7538	4.0	-0.13393517	-0.13446572	-0.00053054
5	61.3919	41.5005	52.7696	5.0	-0.12463951	-0.12485447	-0.00021495
6	51.4145	38.9290	52.8036	6.0	-0.10864332	-0.10928847	-0.00064515
7	52.2960	38.7849	58.0868	4.0	-0.12953063	-0.13046670	-0.00093608
8	65.8231	35.1580	58.0537	4.0	-0.14546364	-0.14574789	-0.00028425
9	64.2483	31.1578	60.5176	4.0	-0.13963210	-0.14080844	-0.00117634
10	59.3553	32.9065	44.9810	7.0	-0.09807189	-0.09671846	0.00135342
11	47.5711	29.5697	52.8979	7.0	-0.07864673	-0.07898978	-0.00034305
12	69.6658	33.7321	51.3781	7.0	-0.09890258	-0.09749240	0.00141018
13	54.6125	42.9359	55.3828	6.0	-0.11002907	-0.11051118	-0.00048211
14	47.2703	27.4332	53.8284	8.0	-0.07305178	-0.07335977	-0.00030799
15	66.5276	32.8652	59.9356	5.0	-0.12485778	-0.12512875	-0.00027098
16	62.3345	28.8139	65.1503	8.0	-0.09160344	-0.09270311	-0.00109967
17	57.5437	37.7186	50.5551	3.0	-0.14578916	-0.14583579	-0.00004663
18	57.0284	42.7598	63.7967	8.0	-0.09007174	-0.09077449	-0.00070275
19	68.2343	34.5149	47.0281	8.0	-0.08793501	-0.08666852	0.00126649
20	66.0293	30.6406	54.4304	3.0	-0.16288456	-0.15852485	0.00435971
21	55.4090	31.8186	50.9072	2.0	-0.15697148	-0.15607464	0.00089685
22	60.6671	31.1288	63.3797	5.0	-0.11993699	-0.12252301	-0.00258602
23	60.8753	36.5762	62.4128	4.0	-0.13948930	-0.14162481	-0.00213550
24	57.0033	28.0407	47.1909	7.0	-0.09980401	-0.09840062	0.00140339
25	60.1315	27.3017	49.1793	5.0	-0.11878758	-0.11589596	0.00289162
26	60.7992	42.0273	50.0793	7.0	-0.10410808	-0.10405282	0.00005526
27	60.3387	37.2841	52.9026	2.0	-0.19941166	-0.19980868	-0.00039702
28	63.6605	43.6040	54.6497	7.0	-0.09944654	-0.09963602	-0.00018949
29	52.9581	37.7076	60.4626	4.0	-0.12949611	-0.13082286	-0.00132675
30	55.4099	33.0460	61.2745	3.0	-0.14837336	-0.15349070	-0.00511734
31	54.8480	32.0221	65.4760	7.0	-0.09379123	-0.09555240	-0.00176116
32	70.0102	31.6291	52.5779	7.0	-0.09896804	-0.09743375	0.00153429
33	56.4436	38.4845	48.6084	5.0	-0.11325835	-0.11312402	0.00013434
34	66.2991	31.8666	55.5203	3.0	-0.16178422	-0.15884707	0.00293716
35	67.6818	26.3124	60.7185	8.0	-0.08719293	-0.08699237	0.00020056
36	53.0778	31.5021	60.1527	4.0	-0.12173549	-0.12429780	-0.00256230
37	54.7071	42.8368	50.2075	8.0	-0.09254875	-0.09275414	-0.00020539
38	50.5138	42.9471	57.4495	8.0	-0.08646311	-0.08695925	-0.00049614
39	63.9978	34.0402	59.8349	3.0	-0.15819334	-0.15999013	-0.00179679
40	53.3323	23.2739	59.2057	8.0	-0.07868709	-0.07919287	-0.00050578
41	57.8271	28.2856	49.5990	5.0	-0.12611339	-0.12370908	0.00240431
42	58.2746	37.1442	45.5617	7.0	-0.09618984	-0.09554100	0.00064885
43	66.8258	35.6837	49.3810	6.0	-0.10910423	-0.10758671	0.00151752
44	51.7254	28.4256	62.1676	7.0	-0.08733097	-0.08858580	-0.00125482
45	69.2125	31.4500	56.6854	6.0	-0.10842635	-0.10737380	0.00105256
46	61.3955	25.1422	50.5257	6.0	-0.10683763	-0.10461836	0.00221927
47	56.9491	35.1528	66.1575	7.0	-0.09686099	-0.09847799	-0.00161699
48	61.1051	39.9334	63.0250	6.0	-0.11122725	-0.11228911	-0.00106186
49	62.6712	24.6209	61.9970	8.0	-0.08881621	-0.08919100	-0.00037479
50	58.3871	36.0021	65.0322	6.0	-0.10905712	-0.11089891	-0.00184178
