grid_idx	shell	dV	q
20	3.0	+0.004360	-1.0000
34	3.0	+0.002937	-0.3124
52	2.0	-0.001060	-1.0000
57	2.0	-0.001578	+1.0000
88	2.0	+0.001393	+1.0000
97	2.0	-0.000545	-1.0000
107	2.0	-0.002870	+0.1015
129	2.0	+0.009337	-1.0000
131	2.0	+0.002865	-1.0000
160	2.0	-0.002884	+1.0000
216	3.0	+0.005133	-1.0000
247	3.0	+0.001341	+1.0000
260	2.0	-0.005996	+1.0000
274	2.0	+0.001532	+1.0000
296	2.0	-0.002364	+1.0000
304	2.0	-0.000315	+0.8519
315	2.0	+0.004787	-1.0000
319	2.0	-0.000280	-1.0000
338	2.0	+0.003483	-0.0990
360	3.0	+0.000414	-1.0000
365	3.0	+0.002400	-1.0000
366	2.0	+0.002571	-1.0000
368	2.0	+0.006065	-1.0000
379	2.0	+0.008480	-1.0000
418	2.0	-0.000988	+1.0000
447	2.0	-0.008623	+0.4519
486	2.0	-0.003139	+1.0000
520	2.0	+0.002743	+1.0000
521	2.0	-0.002154	+1.0000
544	2.0	-0.002570	+1.0000
555	2.0	-0.004439	-1.0000
568	2.0	-0.000886	+0.3529
580	2.0	+0.003419	-1.0000
589	2.0	+0.003870	+1.0000
596	2.0	-0.002165	+1.0000
602	2.0	-0.001733	-1.0000
609	2.0	-0.000306	-1.0000
739	3.0	-0.001547	+1.0000
744	2.0	-0.002485	+1.0000
777	2.0	-0.003037	-0.6724
784	2.0	-0.008628	+1.0000
801	2.0	-0.000254	-1.0000
823	2.0	-0.002049	+1.0000
866	2.0	+0.007465	-1.0000
870	3.0	+0.005211	-1.0000
873	2.0	-0.000133	-0.6346
890	2.0	-0.005717	+1.0000
900	2.0	+0.008232	-1.0000
963	2.0	-0.000771	-1.0000
988	2.0	-0.002312	+1.0000
1020	2.0	+0.001446	+1.0000
1022	2.0	+0.006731	+1.0000
1095	2.0	+0.006336	+1.0000
1101	2.0	-0.005295	+1.0000
1113	2.0	+0.005050	+0.3665
1133	2.0	+0.005937	-1.0000
1146	2.0	-0.002610	+1.0000
1162	2.0	+0.004985	-1.0000
1175	2.0	+0.000125	-0.4063
1203	2.0	+0.004412	-1.0000
