idx	x	y	z	min_dist	nearest_el	V_R	V_TS	Dv
0	58.3108	22.3430	56.1110	8.981	H	-0.08893538	-0.08869476	0.00024062
1	58.3108	22.3430	56.8110	8.981	H	-0.08830517	-0.08817880	0.00012636
2	59.0108	22.3430	55.4110	8.973	H	-0.09015497	-0.08971252	0.00044245
3	59.0108	22.3430	56.1110	8.918	H	-0.08980024	-0.08947731	0.00032293
4	59.0108	22.3430	56.8110	8.918	H	-0.08914124	-0.08893845	0.00020280
5	59.0108	22.3430	57.5110	8.973	H	-0.08820215	-0.08811587	0.00008628
6	59.7108	22.3430	55.4110	8.965	H	-0.09074713	-0.09021899	0.00052814
7	59.7108	22.3430	56.1110	8.910	H	-0.09037881	-0.08997401	0.00040480
8	59.7108	22.3430	56.8110	8.910	H	-0.08969712	-0.08941702	0.00028010
9	59.7108	22.3430	57.5110	8.965	H	-0.08872753	-0.08856898	0.00015854
10	60.4108	22.3430	56.1110	8.957	H	-0.09064571	-0.09016256	0.00048315
11	60.4108	22.3430	56.8110	8.957	H	-0.08994870	-0.08959325	0.00035546
12	54.8108	23.0430	56.8110	8.998	H	-0.08497364	-0.08520043	-0.00022679
13	55.5108	23.0430	55.4110	8.933	H	-0.08787038	-0.08785385	0.00001653
14	55.5108	23.0430	56.1110	8.865	H	-0.08757099	-0.08765500	-0.00008402
15	55.5108	23.0430	56.8110	8.852	H	-0.08700517	-0.08718669	-0.00018152
16	55.5108	23.0430	57.5110	8.895	H	-0.08619233	-0.08646540	-0.00027307
17	55.5108	23.0430	58.2110	8.991	H	-0.08515549	-0.08551170	-0.00035621
18	56.2108	23.0430	54.7110	8.965	H	-0.08989352	-0.08968953	0.00020399
19	56.2108	23.0430	55.4110	8.842	H	-0.08986552	-0.08977122	0.00009430
20	56.2108	23.0430	56.1110	8.773	H	-0.08953479	-0.08955123	-0.00001645
21	56.2108	23.0430	56.8110	8.760	H	-0.08891735	-0.08904183	-0.00012447
22	56.2108	23.0430	57.5110	8.803	H	-0.08803539	-0.08826171	-0.00022632
23	56.2108	23.0430	58.2110	8.901	H	-0.08691528	-0.08723433	-0.00031905
24	56.9108	23.0430	54.0110	8.931	H	-0.09144072	-0.09102650	0.00041422
25	56.9108	23.0430	54.7110	8.765	H	-0.09173725	-0.09143514	0.00030211
26	56.9108	23.0430	55.4110	8.652	H	-0.09170055	-0.09151710	0.00018344
27	56.9108	23.0430	56.1110	8.595	H	-0.09133909	-0.09127648	0.00006261
28	56.9108	23.0430	56.8110	8.595	H	-0.09067067	-0.09072667	-0.00005600
29	56.9108	23.0430	57.5110	8.652	H	-0.08972028	-0.08988863	-0.00016834
30	56.9108	23.0430	58.2110	8.765	H	-0.08851784	-0.08878883	-0.00027099
31	56.9108	23.0430	58.9110	8.931	H	-0.08709612	-0.08745743	-0.00036131
32	57.6108	23.0430	53.3110	8.977	H	-0.09240360	-0.09177043	0.00063318
33	57.6108	23.0430	54.0110	8.756	H	-0.09306528	-0.09253789	0.00052739
34	57.6108	23.0430	54.7110	8.587	H	-0.09337547	-0.09296664	0.00040882
35	57.6108	23.0430	55.4110	8.472	H	-0.09333082	-0.09304895	0.00028187
36	57.6108	23.0430	56.1110	8.414	H	-0.09294014	-0.09278866	0.00015148
37	57.6108	23.0430	56.8110	8.414	H	-0.09222288	-0.09220024	0.00002265
38	57.6108	23.0430	57.5110	8.472	H	-0.09120684	-0.09130683	-0.00009999
39	57.6108	23.0430	58.2110	8.587	H	-0.08992550	-0.09013799	-0.00021249
40	57.6108	23.0430	58.9110	8.757	H	-0.08841558	-0.08872744	-0.00031185
41	57.6108	23.0430	59.6110	8.978	H	-0.08671490	-0.08711101	-0.00039612
42	58.3108	23.0430	53.3110	8.859	H	-0.09374546	-0.09299199	0.00075348
43	58.3108	23.0430	54.0110	8.635	H	-0.09443874	-0.09379415	0.00064459
44	58.3108	23.0430	54.7110	8.463	H	-0.09476178	-0.09424110	0.00052069
