global_idx	min_dist	dV	q
6644	3.587	-0.009604	+1.0000
6626	3.582	-0.009286	+1.0000
6662	3.726	-0.009035	+1.0000
7328	3.320	-0.008945	+1.0000
7942	3.730	-0.008899	+1.0000
7926	3.725	-0.008864	+1.0000
4777	3.628	+0.008787	-1.0000
8578	3.681	-0.008745	+1.0000
6005	3.222	-0.008734	+1.0000
8594	3.686	-0.008635	+1.0000
5436	3.643	+0.008547	-1.0000
4818	3.641	+0.008354	-1.0000
4817	3.715	+0.008346	-1.0000
7296	3.901	-0.008344	+1.0000
6150	3.655	+0.008185	-1.0000
5474	3.803	+0.008100	-1.0000
4093	3.672	+0.008095	-1.0000
5496	3.699	+0.008018	-1.0000
4796	3.875	+0.007963	-1.0000
5495	3.773	+0.007955	-1.0000
