global_idx	min_dist	q
5985	3.222	-0.0849
6003	3.199	-0.0897
7284	3.320	-0.1035
6629	3.726	-0.0795
6680	3.026	-0.1564
5374	2.888	+0.0116
6611	3.587	-0.0757
6021	3.327	-0.0920
7301	3.203	-0.1423
6646	3.649	-0.0994
6593	3.582	-0.0898
5929	3.158	-0.0727
5338	3.402	-0.0154
4718	2.752	+0.1061
5320	3.563	-0.0107
6663	3.543	-0.1120
5356	3.380	-0.0213
4678	3.134	+0.0626
5986	3.909	-0.0599
8559	3.822	+0.1188
7908	3.864	+0.0573
6039	3.526	-0.0832
4657	3.308	+0.0664
7317	3.236	-0.1375
5966	4.017	-0.0579
8542	3.686	+0.1746
7891	3.730	+0.0991
5301	3.498	-0.0057
4614	2.897	+0.1120
4698	3.111	+0.0554
6004	3.891	-0.0664
8576	3.737	+0.0218
6698	3.218	-0.1167
7925	3.781	-0.0148
6575	3.702	-0.0986
9211	3.875	+0.1423
7268	4.030	-0.0065
9194	3.774	+0.2019
7252	3.901	+0.0141
4636	3.382	+0.0675
5375	3.502	-0.0264
5947	3.871	-0.0592
8526	3.681	+0.1677
7875	3.725	+0.0863
9228	3.823	+0.0429
7285	3.951	-0.0446
4738	3.064	+0.0812
5262	2.974	+0.0682
5911	3.258	-0.0465
7201	3.662	-0.1132
5892	2.923	+0.0383
3942	3.298	+0.0739
6681	3.573	-0.1053
4719	3.242	+0.0446
7164	3.202	-0.0973
6022	3.978	-0.0704
8593	3.633	-0.0483
7942	3.679	-0.0661
9178	3.769	+0.2027
7236	3.897	+0.0037
11253	3.347	-0.0433
3987	3.167	+0.0925
5282	3.449	+0.0011
7974	3.218	-0.1108
9865	3.891	+0.1265
3965	3.340	+0.0848
5243	2.785	+0.1236
4030	2.960	+0.1251
6630	4.304	-0.0369
3917	3.165	-0.0765
6541	3.361	-0.0905
9848	3.912	+0.1842
3918	3.128	+0.0036
6612	4.184	-0.0290
7144	2.700	+0.1210
4009	3.144	+0.0932
10611	3.423	-0.0286
7350	3.200	-0.0962
7302	3.853	-0.0725
4615	3.332	+0.0649
5410	3.599	-0.0047
9882	3.863	+0.0424
4593	3.005	+0.0954
6057	3.691	-0.0652
5930	3.827	-0.0559
6647	4.231	-0.0528
8510	3.807	+0.1100
7333	3.416	-0.1067
7859	3.850	+0.0362
4679	3.707	+0.0183
5339	4.059	-0.0262
6558	3.788	-0.0882
8008	3.075	-0.0387
3916	3.350	-0.1357
5393	3.752	-0.0276
4658	3.856	+0.0216
3943	3.551	+0.0742
5321	4.195	-0.0233
5872	2.905	+0.1114
6523	3.195	-0.0101
6074	3.576	-0.0394
3919	3.246	+0.0549
4635	3.648	-0.1171
8437	3.492	-0.0968
7787	3.421	-0.0420
9832	3.980	+0.1918
11276	3.139	-0.0243
6594	4.180	-0.0331
4699	3.687	+0.0136
5357	4.041	-0.0301
9162	3.892	+0.1535
4572	2.858	+0.0311
7219	4.016	-0.0224
4739	3.511	+0.0320
7368	3.281	-0.0551
11866	3.224	-0.0222
4031	3.274	+0.0850
6040	4.005	-0.0662
8609	3.663	-0.0662
7958	3.708	-0.0786
8476	3.831	-0.0587
7825	3.874	-0.0947
3964	3.754	-0.0362
6503	2.781	+0.1312
8458	3.860	-0.1281
9900	3.853	-0.0129
7807	3.868	-0.1289
4637	3.890	+0.0235
6716	3.540	-0.0752
7145	3.335	+0.0248
6664	4.140	-0.0647
5302	4.112	-0.0210
4051	3.252	+0.1040
3988	3.601	+0.0568
6699	3.736	-0.0841
4573	2.987	+0.0785
10519	4.030	+0.0883
3915	3.662	-0.1527
5263	3.541	+0.0080
3966	3.754	+0.0557
