global_idx	min_dist	dV	q
6611	3.587	-0.009604	+0.0294
6593	3.582	-0.009286	+0.0216
6629	3.726	-0.009035	+0.0152
7284	3.320	-0.008945	+0.0124
7891	3.730	-0.008899	+0.0112
7875	3.725	-0.008864	+0.0105
4777	3.628	+0.008787	-0.0277
8526	3.681	-0.008745	+0.0072
5985	3.222	-0.008734	+0.0083
8542	3.686	-0.008635	+0.0043
5428	3.643	+0.008547	-0.0218
4817	3.715	+0.008346	-0.0169
6130	3.655	+0.008185	-0.0130
5466	3.803	+0.008100	-0.0108
4093	3.672	+0.008095	-0.0104
4796	3.875	+0.007963	-0.0072
4094	3.597	+0.007888	-0.0051
4071	3.761	+0.007794	-0.0028
4816	3.916	+0.007778	-0.0027
5447	3.889	+0.007738	-0.0017
