grid_idx	min_dist	dV	q
3345	4.427	+0.005576	-1.0000
3346	4.251	+0.005659	-1.0000
3372	4.690	+0.005420	-1.0000
3373	4.414	+0.005845	-1.0000
3374	4.238	+0.005981	-1.0000
3375	4.172	+0.005729	-1.0000
3399	4.781	+0.005389	-1.0000
3400	4.512	+0.005818	-1.0000
3401	4.339	+0.005983	-1.0000
3402	4.275	+0.005791	-1.0000
3427	4.712	+0.005518	-1.0000
3428	4.547	+0.005679	-1.0000
3429	4.486	+0.005539	-1.0000
4006	4.174	+0.005596	-1.0000
4007	3.987	+0.005674	-1.0000
4027	4.226	+0.006005	-1.0000
4028	3.918	+0.006577	-1.0000
4029	3.718	+0.006740	-1.0000
4048	4.501	+0.005734	-1.0000
4049	4.095	+0.006645	-1.0000
4050	3.776	+0.007386	-1.0000
4069	4.488	+0.005962	-1.0000
4070	4.081	+0.006952	-1.0000
4071	3.761	+0.007794	-1.0000
4090	4.584	+0.005892	-1.0000
4091	4.186	+0.006847	-1.0000
4092	3.875	+0.007672	-1.0000
4093	3.672	+0.008095	-1.0000
4094	3.597	+0.007888	-1.0000
4113	4.781	+0.005559	-1.0000
4114	4.401	+0.006386	-1.0000
4115	4.106	+0.007091	-1.0000
4116	3.916	+0.007471	-1.0000
4117	3.845	+0.007356	-1.0000
4118	3.707	+0.006740	-1.0000
4139	4.712	+0.005712	-1.0000
4140	4.437	+0.006254	-1.0000
4141	4.262	+0.006545	-1.0000
4142	4.197	+0.006471	-1.0000
4143	4.028	+0.006016	-1.0000
4167	4.687	+0.005554	-1.0000
4168	4.628	+0.005490	-1.0000
4676	4.015	+0.005675	-1.0000
4677	3.820	+0.005869	-1.0000
4695	4.366	+0.005456	-1.0000
4696	3.946	+0.006345	-1.0000
4697	3.615	+0.007078	-1.0000
4716	4.122	+0.006322	-1.0000
4717	3.674	+0.007565	-1.0000
4736	4.513	+0.005661	-1.0000
4737	3.987	+0.007006	-1.0000
4756	4.500	+0.005873	-1.0000
4757	3.973	+0.007316	-1.0000
4775	4.596	+0.005796	-1.0000
